MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220510,Southeast,"178,726.80","111,614.79","47,144.96","8,847.09",0.00,0.00,2022-05-10,2022-05-16,1
20220510,West,"630,142.26","1,144,923.94","1,080,466.62","862,148.06","407,319.54","54,351.92",2022-05-10,2022-05-16,1
20220503,High Plains,"80,778.22","428,586.81","382,450.42","216,129.17","37,216.80","2,086.82",2022-05-03,2022-05-09,1
20220503,Midwest,"442,432.86","56,432.43","7,356.87","1,545.61",0.00,0.00,2022-05-03,2022-05-09,1
20220503,Northeast,"166,010.71","37,084.48","2,762.53",0.00,0.00,0.00,2022-05-03,2022-05-09,1
20220503,South,"167,224.84","357,750.46","281,747.47","232,008.54","168,437.06","68,745.26",2022-05-03,2022-05-09,1
20220503,Southeast,"175,191.74","115,149.86","46,360.36","7,453.05",0.00,0.00,2022-05-03,2022-05-09,1
20220503,West,"622,482.06","1,152,584.14","1,086,310.40","865,668.12","364,226.01","54,885.86",2022-05-03,2022-05-09,1
20220426,High Plains,"72,968.08","436,396.95","383,880.57","239,533.81","59,442.48","2,252.56",2022-04-26,2022-05-02,1
20220426,Midwest,"436,550.47","62,314.83","7,258.55","1,318.87",0.00,0.00,2022-04-26,2022-05-02,1
20220426,Northeast,"165,252.99","37,842.20","2,513.64",0.00,0.00,0.00,2022-04-26,2022-05-02,1
20220426,South,"157,431.19","367,544.11","291,753.90","241,271.79","167,566.91","59,730.72",2022-04-26,2022-05-02,1
20220426,Southeast,"188,803.31","101,538.29","46,427.63","7,924.43",0.00,0.00,2022-04-26,2022-05-02,1
20220426,West,"627,236.87","1,147,829.33","1,085,751.50","890,525.12","389,223.36","45,604.28",2022-04-26,2022-05-02,1
20220419,High Plains,"69,605.55","439,759.48","395,418.63","244,266.55","60,975.91","2,252.56",2022-04-19,2022-04-25,1
20220419,Midwest,"401,892.39","96,972.91","27,653.05","1,318.87",0.00,0.00,2022-04-19,2022-04-25,1
20220419,Northeast,"165,252.99","37,842.20","2,513.64",0.00,0.00,0.00,2022-04-19,2022-04-25,1
20220419,South,"146,978.01","377,997.29","313,261.60","248,612.83","173,905.74","48,778.79",2022-04-19,2022-04-25,1
20220419,Southeast,"188,172.16","102,169.43","42,103.34","6,005.74",0.00,0.00,2022-04-19,2022-04-25,1
20220419,West,"642,411.89","1,132,654.30","1,073,586.03","890,778.68","398,778.55","34,332.44",2022-04-19,2022-04-25,1
20220412,High Plains,"68,385.28","440,979.75","397,720.39","230,191.03","46,045.75","2,252.56",2022-04-12,2022-04-18,1
20220412,Midwest,"395,177.28","103,688.02","33,891.94","1,296.30",0.00,0.00,2022-04-12,2022-04-18,1
20220412,Northeast,"159,590.59","43,504.60","4,311.85","1,369.56",0.00,0.00,2022-04-12,2022-04-18,1
20220412,South,"123,932.62","401,042.68","341,382.70","262,094.58","164,421.38","43,878.69",2022-04-12,2022-04-18,1
20220412,Southeast,"176,876.24","113,465.35","43,116.39","5,933.76",0.00,0.00,2022-04-12,2022-04-18,1
20220412,West,"640,713.04","1,134,353.16","1,072,172.68","892,863.90","396,957.82","32,105.74",2022-04-12,2022-04-18,1
20220405,High Plains,"67,800.25","441,564.78","397,892.58","227,849.22","38,632.17","1,689.93",2022-04-05,2022-04-11,1
20220405,Midwest,"369,390.14","129,475.16","36,475.59","1,296.30",0.00,0.00,2022-04-05,2022-04-11,1
20220405,Northeast,"136,133.49","66,961.70","7,133.32","1,369.56",0.00,0.00,2022-04-05,2022-04-11,1
20220405,South,"130,580.43","394,394.87","340,995.55","269,703.02","143,826.85","32,195.15",2022-04-05,2022-04-11,1
20220405,Southeast,"165,537.24","124,804.35","55,120.84","5,898.75",0.00,0.00,2022-04-05,2022-04-11,1
20220405,West,"639,576.45","1,135,489.75","1,071,769.40","887,457.27","368,616.20","30,299.88",2022-04-05,2022-04-11,1
20220329,High Plains,"67,058.51","442,306.52","396,679.86","230,439.53","40,783.95","1,689.93",2022-03-29,2022-04-04,1
20220329,Midwest,"352,667.01","146,198.29","50,925.55","1,701.09",0.00,0.00,2022-03-29,2022-04-04,1
20220329,Northeast,"146,034.00","57,061.19","6,365.00","1,369.56",0.00,0.00,2022-03-29,2022-04-04,1
20220329,South,"121,200.92","403,774.38","359,463.68","271,153.26","149,853.33","24,460.48",2022-03-29,2022-04-04,1
20220329,Southeast,"165,409.27","124,932.32","56,648.00","1,744.44",0.00,0.00,2022-03-29,2022-04-04,1
20220329,West,"648,650.01","1,126,416.18","1,059,775.43","831,458.15","352,134.18","29,700.20",2022-03-29,2022-04-04,1
20220322,High Plains,"67,705.47","441,659.56","386,064.49","200,889.95","38,917.34","1,455.81",2022-03-22,2022-03-28,1
20220322,Midwest,"294,846.97","204,018.33","72,624.10","11,774.26",0.00,0.00,2022-03-22,2022-03-28,1
20220322,Northeast,"143,763.51","59,331.68","6,365.00","1,369.56",0.00,0.00,2022-03-22,2022-03-28,1
20220322,South,"115,423.85","409,551.45","365,651.24","277,838.89","145,524.31","21,909.60",2022-03-22,2022-03-28,1
20220322,Southeast,"161,148.48","129,193.11","47,811.69","1,406.32",0.00,0.00,2022-03-22,2022-03-28,1
20220322,West,"647,632.03","1,127,434.17","1,060,432.41","829,984.75","339,946.84","29,700.20",2022-03-22,2022-03-28,1
20220315,High Plains,"49,382.42","459,982.61","405,717.94","235,233.27","40,674.47","1,501.46",2022-03-15,2022-03-21,1
20220315,Midwest,"284,575.21","214,290.09","85,262.32","11,774.26",0.00,0.00,2022-03-15,2022-03-21,1
20220315,Northeast,"149,019.62","54,075.57","5,644.05","1,369.56",0.00,0.00,2022-03-15,2022-03-21,1
20220315,South,"101,304.39","423,670.91","391,971.75","295,729.20","165,031.81","32,968.91",2022-03-15,2022-03-21,1
20220315,Southeast,"131,296.56","159,045.03","67,512.80",0.00,0.00,0.00,2022-03-15,2022-03-21,1
20220315,West,"643,722.01","1,131,344.18","1,073,532.66","853,709.76","334,725.41","28,359.45",2022-03-15,2022-03-21,1
20220308,High Plains,"49,108.21","460,256.82","402,915.33","228,339.61","29,315.44","1,501.46",2022-03-08,2022-03-14,1
20220308,Midwest,"284,573.05","214,292.25","87,793.71","10,477.96",0.00,0.00,2022-03-08,2022-03-14,1
20220308,Northeast,"150,855.49","52,239.70","7,364.22","1,727.47",0.00,0.00,2022-03-08,2022-03-14,1
20220308,South,"98,648.53","426,326.78","391,255.16","301,956.96","156,690.46","25,357.07",2022-03-08,2022-03-14,1
20220308,Southeast,"106,054.68","184,286.91","69,747.91","1,244.50",0.00,0.00,2022-03-08,2022-03-14,1
20220308,West,"644,412.75","1,130,653.45","1,074,275.61","839,291.19","283,269.59","34,550.90",2022-03-08,2022-03-14,1
20220301,High Plains,"48,248.36","461,116.67","403,719.15","223,007.49","31,142.14",113.81,2022-03-01,2022-03-07,1
20220301,Midwest,"274,150.01","224,715.29","96,473.05","11,386.19",0.00,0.00,2022-03-01,2022-03-07,1
20220301,Northeast,"167,084.26","36,010.92","4,140.97","1,727.47",0.00,0.00,2022-03-01,2022-03-07,1
20220301,South,"109,641.39","415,333.91","355,666.70","258,967.88","110,658.31","2,130.24",2022-03-01,2022-03-07,1
20220301,Southeast,"152,185.02","138,156.57","38,212.44",0.00,0.00,0.00,2022-03-01,2022-03-07,1
20220301,West,"630,371.68","1,144,694.52","1,077,506.84","832,139.38","280,864.90","33,190.38",2022-03-01,2022-03-07,1
20220222,High Plains,"40,151.47","469,213.56","399,150.27","196,425.44","30,010.67",3.28,2022-02-22,2022-02-28,1
20220222,Midwest,"275,129.68","223,735.62","94,463.79","11,386.19",0.00,0.00,2022-02-22,2022-02-28,1
20220222,Northeast,"167,097.79","35,997.40","4,140.97","1,727.47",0.00,0.00,2022-02-22,2022-02-28,1
20220222,South,"108,491.51","416,483.79","351,097.49","245,696.49","106,136.37","2,028.86",2022-02-22,2022-02-28,1
20220222,Southeast,"166,459.13","123,882.46","20,785.24",0.00,0.00,0.00,2022-02-22,2022-02-28,1
20220222,West,"629,453.46","1,145,612.74","1,054,778.35","762,642.77","251,400.50","34,949.51",2022-02-22,2022-02-28,1
20220215,High Plains,"40,118.67","469,246.36","397,091.09","192,160.83","28,373.27",3.28,2022-02-15,2022-02-21,1
20220215,Midwest,"261,079.00","237,786.29","105,714.59","11,933.88",0.00,0.00,2022-02-15,2022-02-21,1
20220215,Northeast,"167,097.79","35,997.40","4,140.97","1,727.47",0.00,0.00,2022-02-15,2022-02-21,1
20220215,South,"104,565.20","420,410.10","344,919.27","253,651.28","110,556.46","2,028.86",2022-02-15,2022-02-21,1
20220215,Southeast,"208,001.26","82,340.33","4,725.36",0.00,0.00,0.00,2022-02-15,2022-02-21,1
20220215,West,"629,628.69","1,145,437.51","1,054,049.24","761,572.18","237,242.73","35,375.97",2022-02-15,2022-02-21,1
20220208,High Plains,"43,791.03","465,574.00","371,178.36","184,480.81","27,588.68",3.28,2022-02-08,2022-02-14,1
20220208,Midwest,"274,057.74","224,807.56","91,753.09","9,825.30",0.00,0.00,2022-02-08,2022-02-14,1
20220208,Northeast,"165,241.48","37,853.71","4,140.97","1,727.47",0.00,0.00,2022-02-08,2022-02-14,1
20220208,South,"115,523.59","409,451.71","340,515.14","238,301.91","101,854.87","2,028.86",2022-02-08,2022-02-14,1
20220208,Southeast,"224,788.74","65,552.85","3,837.97",0.00,0.00,0.00,2022-02-08,2022-02-14,1
20220208,West,"628,774.83","1,146,291.37","1,048,370.74","760,160.45","228,839.12","38,329.88",2022-02-08,2022-02-14,1
20220201,High Plains,"46,084.16","463,280.87","336,763.32","184,590.13","35,613.03",3.28,2022-02-01,2022-02-07,1
20220201,Midwest,"283,331.79","215,533.51","82,913.84","9,825.30",0.00,0.00,2022-02-01,2022-02-07,1
