Active,Airline,AirlineID,Alias,Callsign,Country,IATA,ICAO
N,Aero Comondu,54,\N,AERO COMONDU,Mexico,"",ACO
N,Aero Continente Dominicana,772,\N,CONDOMINICANA,Dominican Republic,"",CND
N,Aero Control Air,1018,\N,LIFE FLIGHT CANADA,Canada,"",LFC
N,Aero Copter,640,\N,"",Mexico,"",PTE
N,Aero Costa Taxi Aereo,666,\N,AEROCOSTAXI,Mexico,"",XCT
N,Aero Davinci International,823,\N,AERO DAVINCI,Mexico,"",DVI
N,Aero Dynamics,77,\N,COTSWOLD,United Kingdom,"",ADL
N,Aero Dynamics,824,\N,AERO DYNAMIC,United States,"",DYN
N,Aero Ejecutivo De Baja California,829,\N,CALIXJET,Mexico,"",EBC
N,Aero Ejecutivos,673,\N,VENEJECUTIV,Venezuela,"",VEJ
N,Aero Ejecutivos RCG,831,\N,EJECTUIVOS RCG,Mexico,"",ECG
N,Aero Empresa Mexicana,131,\N,AERO EMPRESA,Mexico,"",AFO
N,Aero Empresarial,848,\N,AEROEMPRESARIAL,Mexico,"",EPE
N,Aero Entreprise,361,\N,AERO ENTERPRISE,France,"",AON
N,Aero Ermes,845,\N,AERO ERMES,Mexico,"",EOM
N,Aero Express Intercontinental,630,\N,INTER EXPRESS,Mexico,"",XSS
N,Aero Fenix,886,\N,AERO FENIX,France,"",FNX
N,Aero Flight Service,182,\N,FLIGHT GROUP,United States,"",AGY
N,Aero Freight,874,\N,FREIAERO,Mexico,"",FGT
N,Aero Gambia,175,\N,AERO GAMBIA,Gambia,"",AGW
N,Aero Gen,1218,\N,AEROGEN,Mexico,"",ROH
N,Aero Homex,945,\N,AERO HOMEX,Mexico,"",HOM
N,Aero Industries Inc,674,\N,WABASH,United States,"",WAB
N,Aero International,957,\N,AERO-NACIONAL,Mexico,"",INA
N,Aero JBR,233,\N,AERO JBR,Mexico,"",AJB
N,Aero Jet Express,234,\N,JET EXPRESS,Mexico,"",AJE
N,Aero Jets Corporativos,244,\N,AEROJETS,Mexico,"",AJP
N,Aero Jomacha,609,\N,AERO JOMACHA,Mexico,"",MHC
N,Aero Juarez,982,\N,JUAREZ,Mexico,"",JUA
N,Aero Lider,1014,\N,AEROLIDER,Mexico,"",LDR
N,Aero Link Air Services S.L.,419,\N,LINK SERVICE,Spain,"",ARK
N,Aero Lloyd (YP),14921,"","",Germany,YP,AEF
N,Aero Madrid,101,\N,AEROMADRID,Spain,"",AEM
N,Aero McFly,1069,\N,MCFLY,Mexico,"",MFL
N,Aero Modelo,808,\N,AEROMODELO,Mexico,"",DLS
N,Aero Mongolia,1083,\N,AERO MONGOLIA,Mongolia,M0,MNG
N,Aero Norte,1121,\N,"",Mexico,"",NTD
N,Aero Nova,628,\N,AERONOVA,Spain,"",OVA
N,Aero Personal,1151,\N,AEROPERSONAL,Mexico,"",PNL
N,Aero Premier De Mexico,1072,\N,AEROPREMIER,Mexico,"",MIE
N,Aero Quimmco,1167,\N,QUIMMCO,Mexico,"",QUI
N,Aero Rent JSC,357,\N,AEROMASTER,Russia,"",NRO
N,Aero Renta De Coahuila,1181,\N,AEROCOAHUILA,Mexico,"",RCO
N,Aero Roca,1226,\N,AEROROCA,Mexico,"",RRC
N,Aero Sami,1265,\N,SAMI,Mexico,"",SMI
N,Aero Services,655,\N,AEROSERV,Barbados,"",BAS
N,Aero Services Executive,227,\N,BIRD EXPRESS,France,W4,BES
